,palavra_chave,score,intent,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,digital transformation,1.0,Digital Transformation,,,,,,,,,,,,,,,,,,,
1,innovation digital,0.65,Innovation Digital,,,,,,,,,,,,,,,,,,,
2,digital innovation,0.68,Innovation Digital,,,,,,,,,,,,,,,,,,,
3,digital transformation business,0.88,Digital Transformation,,,,,,,,,,,,,,,,,,,
4,business model iot,0.22,Innovation Digital,,,,,,,,,,,,,,,,,,,
5,explore digital transformation,0.92,Digital Transformation,,,,,,,,,,,,,,,,,,,
6,innovative businesses digital,0.54,Innovation Digital,,,,,,,,,,,,,,,,,,,
7,ongoing digital transformation,0.92,Digital Transformation,,,,,,,,,,,,,,,,,,,
8,embrace digital innovation,0.62,Innovation Digital,,,,,,,,,,,,,,,,,,,
9,digital capabilities sme,0.55,Innovation Digital,,,,,,,,,,,,,,,,,,,
10,corporate venture capital,0.11,Corporate Venture Capital,,,,,,,,,,,,,,,,,,,
11,business model innova,0.23,Innovation Digital,,,,,,,,,,,,,,,,,,,
12,businesses digital,0.62,Innovation Digital,,,,,,,,,,,,,,,,,,,
13,service innovation capabilities,0.3,Innovation Digital,,,,,,,,,,,,,,,,,,,
14,firm innovativeness digital,0.49,Innovation Digital,,,,,,,,,,,,,,,,,,,
15,digital capabilities,0.7,Digital Transformation,,,,,,,,,,,,,,,,,,,
16,digital innovation knowledge,0.5,Innovation Digital,,,,,,,,,,,,,,,,,,,
17,business model innovation,0.25,Innovation Digital,,,,,,,,,,,,,,,,,,,
18,dynamic capabilities theoretical,0.3,Innovation Digital,,,,,,,,,,,,,,,,,,,
19,financing disruptive technologies,0.29,Corporate Venture Capital,,,,,,,,,,,,,,,,,,,
0,digital transformation,1.0,Digital Transformation,0.0,,,,,,,,,,,,,,,,,,
1,innovation digital,0.65,Innovation Digital,1.0,,,,,,,,,,,,,,,,,,
2,digital innovation,0.68,Innovation Digital,2.0,,,,,,,,,,,,,,,,,,
3,digital transformation business,0.88,Digital Transformation,3.0,,,,,,,,,,,,,,,,,,
4,business model iot,0.22,Innovation Digital,4.0,,,,,,,,,,,,,,,,,,
5,explore digital transformation,0.92,Digital Transformation,5.0,,,,,,,,,,,,,,,,,,
6,innovative businesses digital,0.54,Innovation Digital,6.0,,,,,,,,,,,,,,,,,,
7,ongoing digital transformation,0.92,Digital Transformation,7.0,,,,,,,,,,,,,,,,,,
8,embrace digital innovation,0.62,Innovation Digital,8.0,,,,,,,,,,,,,,,,,,
9,digital capabilities sme,0.55,Innovation Digital,9.0,,,,,,,,,,,,,,,,,,
10,corporate venture capital,0.11,Corporate Venture Capital,10.0,,,,,,,,,,,,,,,,,,
11,business model innova,0.23,Innovation Digital,11.0,,,,,,,,,,,,,,,,,,
12,businesses digital,0.62,Innovation Digital,12.0,,,,,,,,,,,,,,,,,,
13,service innovation capabilities,0.3,Innovation Digital,13.0,,,,,,,,,,,,,,,,,,
14,firm innovativeness digital,0.49,Innovation Digital,14.0,,,,,,,,,,,,,,,,,,
15,digital capabilities,0.7,Digital Transformation,15.0,,,,,,,,,,,,,,,,,,
16,digital innovation knowledge,0.5,Innovation Digital,16.0,,,,,,,,,,,,,,,,,,
17,business model innovation,0.25,Innovation Digital,17.0,,,,,,,,,,,,,,,,,,
18,dynamic capabilities theoretical,0.3,Innovation Digital,18.0,,,,,,,,,,,,,,,,,,
19,financing disruptive technologies,0.29,Corporate Venture Capital,19.0,,,,,,,,,,,,,,,,,,
20,digital transformation,1.0,Digital Transformation,0.0,0.0,,,,,,,,,,,,,,,,,
21,innovation digital,0.65,Innovation Digital,1.0,1.0,,,,,,,,,,,,,,,,,
22,digital innovation,0.68,Innovation Digital,2.0,2.0,,,,,,,,,,,,,,,,,
23,digital transformation business,0.88,Digital Transformation,3.0,3.0,,,,,,,,,,,,,,,,,
24,business model iot,0.22,Innovation Digital,4.0,4.0,,,,,,,,,,,,,,,,,
25,explore digital transformation,0.92,Digital Transformation,5.0,5.0,,,,,,,,,,,,,,,,,
26,innovative businesses digital,0.54,Innovation Digital,6.0,6.0,,,,,,,,,,,,,,,,,
27,ongoing digital transformation,0.92,Digital Transformation,7.0,7.0,,,,,,,,,,,,,,,,,
28,embrace digital innovation,0.62,Innovation Digital,8.0,8.0,,,,,,,,,,,,,,,,,
29,digital capabilities sme,0.55,Innovation Digital,9.0,9.0,,,,,,,,,,,,,,,,,
30,corporate venture capital,0.11,Corporate Venture Capital,10.0,10.0,,,,,,,,,,,,,,,,,
31,business model innova,0.23,Innovation Digital,11.0,11.0,,,,,,,,,,,,,,,,,
32,businesses digital,0.62,Innovation Digital,12.0,12.0,,,,,,,,,,,,,,,,,
33,service innovation capabilities,0.3,Innovation Digital,13.0,13.0,,,,,,,,,,,,,,,,,
34,firm innovativeness digital,0.49,Innovation Digital,14.0,14.0,,,,,,,,,,,,,,,,,
35,digital capabilities,0.7,Digital Transformation,15.0,15.0,,,,,,,,,,,,,,,,,
36,digital innovation knowledge,0.5,Innovation Digital,16.0,16.0,,,,,,,,,,,,,,,,,
37,business model innovation,0.25,Innovation Digital,17.0,17.0,,,,,,,,,,,,,,,,,
38,dynamic capabilities theoretical,0.3,Innovation Digital,18.0,18.0,,,,,,,,,,,,,,,,,
39,financing disruptive technologies,0.29,Corporate Venture Capital,19.0,19.0,,,,,,,,,,,,,,,,,
40,digital transformation,0.75,Digital Transformation,20.0,0.0,0.0,,,,,,,,,,,,,,,,
41,digital transformation public,0.74,Digital Transformation,21.0,1.0,1.0,,,,,,,,,,,,,,,,
42,term digital transformation,0.69,Digital Transformation,22.0,2.0,2.0,,,,,,,,,,,,,,,,
43,achieved digital transformation,0.75,Digital Transformation,23.0,3.0,3.0,,,,,,,,,,,,,,,,
44,public administrations transforming,0.51,Transformation Public Administration,24.0,4.0,4.0,,,,,,,,,,,,,,,,
45,transformation public administration,0.57,Transformation Public Administration,25.0,5.0,5.0,,,,,,,,,,,,,,,,
46,transformational government,0.45,Transformation Public Administration,26.0,6.0,6.0,,,,,,,,,,,,,,,,
47,grounded theory examines,0.28,Grounded Theory,27.0,7.0,7.0,,,,,,,,,,,,,,,,
48,digital government transformational,0.68,Transformation Public Administration,28.0,8.0,8.0,,,,,,,,,,,,,,,,
49,defining digital transformation,0.72,Digital Transformation,29.0,9.0,9.0,,,,,,,,,,,,,,,,
50,results digital transformation,0.65,Digital Transformation,30.0,10.0,10.0,,,,,,,,,,,,,,,,
51,approaching digital transformation,0.75,Digital Transformation,31.0,11.0,11.0,,,,,,,,,,,,,,,,
52,digital transformation provide,0.73,Digital Transformation,32.0,12.0,12.0,,,,,,,,,,,,,,,,
53,grounded theory,0.27,Grounded Theory,33.0,13.0,13.0,,,,,,,,,,,,,,,,
54,digital transformation outcomes,0.74,Digital Transformation,34.0,14.0,14.0,,,,,,,,,,,,,,,,
55,used grounded theory,0.24,Grounded Theory,35.0,15.0,15.0,,,,,,,,,,,,,,,,
56,grounded theory approach,0.29,Grounded Theory,36.0,16.0,16.0,,,,,,,,,,,,,,,,
57,grounded theory aims,0.26,Grounded Theory,37.0,17.0,17.0,,,,,,,,,,,,,,,,
58,result digital transformation,0.62,Digital Transformation,38.0,18.0,18.0,,,,,,,,,,,,,,,,
59,digital transformation experts,0.77,Digital Transformation,39.0,19.0,19.0,,,,,,,,,,,,,,,,
60,digital transformation leadership,0.75,Digital Transformation Leadership,40.0,20.0,0.0,0.0,,,,,,,,,,,,,,,
61,digital leadership,0.6,Digital Transformation Leadership,41.0,21.0,1.0,1.0,,,,,,,,,,,,,,,
62,transformation leadership dtl,0.49,Digital Transformation Leadership,42.0,22.0,2.0,2.0,,,,,,,,,,,,,,,
63,digital transformation organisations,0.84,Digital Transformation Organisations,43.0,23.0,3.0,3.0,,,,,,,,,,,,,,,
64,digital leadership digital,0.64,Digital Transformation Leadership,44.0,24.0,4.0,4.0,,,,,,,,,,,,,,,
65,data governance telecommunications,0.42,Digital Transformation Organisations,45.0,25.0,5.0,5.0,,,,,,,,,,,,,,,
66,leadership digital transformation,0.74,Digital Transformation Leadership,46.0,26.0,6.0,6.0,,,,,,,,,,,,,,,
67,digital transformation leaders,0.79,Digital Transformation Leadership,47.0,27.0,7.0,7.0,,,,,,,,,,,,,,,
68,transformation leadership digital,0.73,Digital Transformation Leadership,48.0,28.0,8.0,8.0,,,,,,,,,,,,,,,
69,strategist digital leaders,0.51,Digital Transformation Leadership,49.0,29.0,9.0,9.0,,,,,,,,,,,,,,,
70,digital transformation executive,0.83,Digital Transformation Organisations,50.0,30.0,10.0,10.0,,,,,,,,,,,,,,,
71,digital transformation strategic,0.84,Digital Transformation Organisations,51.0,31.0,11.0,11.0,,,,,,,,,,,,,,,
72,transformation digital culturalist,0.78,Digital Transformation Organisations,52.0,32.0,12.0,12.0,,,,,,,,,,,,,,,
73,leading digital transformation,0.91,Digital Transformation Organisations,53.0,33.0,13.0,13.0,,,,,,,,,,,,,,,
74,digital officer cdo,0.45,Cdo Digital Workplace,54.0,34.0,14.0,14.0,,,,,,,,,,,,,,,
75,cdo digital workplace,0.5,Cdo Digital Workplace,55.0,35.0,15.0,15.0,,,,,,,,,,,,,,,
76,cdo digital strategist,0.43,Cdo Digital Workplace,56.0,36.0,16.0,16.0,,,,,,,,,,,,,,,
77,data governance activities,0.34,Digital Transformation Organisations,57.0,37.0,17.0,17.0,,,,,,,,,,,,,,,
78,ceo digital strategist,0.44,Digital Transformation Organisations,58.0,38.0,18.0,18.0,,,,,,,,,,,,,,,
79,customer centricity develop,0.25,Cdo Digital Workplace,59.0,39.0,19.0,19.0,,,,,,,,,,,,,,,
80,digital transformation,1.0,Digital Transformation,60.0,40.0,20.0,0.0,0.0,,,,,,,,,,,,,,
81,innovation digital,0.65,Innovation Digital,61.0,41.0,21.0,1.0,1.0,,,,,,,,,,,,,,
82,digital innovation,0.68,Innovation Digital,62.0,42.0,22.0,2.0,2.0,,,,,,,,,,,,,,
83,digital transformation business,0.88,Digital Transformation,63.0,43.0,23.0,3.0,3.0,,,,,,,,,,,,,,
84,business model iot,0.22,Innovation Digital,64.0,44.0,24.0,4.0,4.0,,,,,,,,,,,,,,
85,explore digital transformation,0.92,Digital Transformation,65.0,45.0,25.0,5.0,5.0,,,,,,,,,,,,,,
86,innovative businesses digital,0.54,Innovation Digital,66.0,46.0,26.0,6.0,6.0,,,,,,,,,,,,,,
87,ongoing digital transformation,0.92,Digital Transformation,67.0,47.0,27.0,7.0,7.0,,,,,,,,,,,,,,
88,embrace digital innovation,0.62,Innovation Digital,68.0,48.0,28.0,8.0,8.0,,,,,,,,,,,,,,
89,digital capabilities sme,0.55,Innovation Digital,69.0,49.0,29.0,9.0,9.0,,,,,,,,,,,,,,
90,corporate venture capital,0.11,Corporate Venture Capital,70.0,50.0,30.0,10.0,10.0,,,,,,,,,,,,,,
91,business model innova,0.23,Innovation Digital,71.0,51.0,31.0,11.0,11.0,,,,,,,,,,,,,,
92,businesses digital,0.62,Innovation Digital,72.0,52.0,32.0,12.0,12.0,,,,,,,,,,,,,,
93,service innovation capabilities,0.3,Innovation Digital,73.0,53.0,33.0,13.0,13.0,,,,,,,,,,,,,,
94,firm innovativeness digital,0.49,Innovation Digital,74.0,54.0,34.0,14.0,14.0,,,,,,,,,,,,,,
95,digital capabilities,0.7,Digital Transformation,75.0,55.0,35.0,15.0,15.0,,,,,,,,,,,,,,
96,digital innovation knowledge,0.5,Innovation Digital,76.0,56.0,36.0,16.0,16.0,,,,,,,,,,,,,,
97,business model innovation,0.25,Innovation Digital,77.0,57.0,37.0,17.0,17.0,,,,,,,,,,,,,,
98,dynamic capabilities theoretical,0.3,Innovation Digital,78.0,58.0,38.0,18.0,18.0,,,,,,,,,,,,,,
99,financing disruptive technologies,0.29,Corporate Venture Capital,79.0,59.0,39.0,19.0,19.0,,,,,,,,,,,,,,
100,digital transformation,0.77,Digital Transformation,80.0,60.0,40.0,20.0,0.0,0.0,,,,,,,,,,,,,
