text,intent,maturity_score,entities,category,metadata
"‘How does the digital transformation affect 
organizations?",Organizational Change,0.16,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Journal of Management Studies published by Society for the Advancement of Management 
Studies and John Wiley & Sons Ltd
A Systematic Review of the Literature on Digital 
Transformation: Insights and Implications for 
Strategy and Organizational Change
André Hanelta, René Bohnsackb,*, David Marzc and 
Cláudia Antunes Maranteb
a University of  Kassel; b Católica Lisbon School of  Business & Economics; c University of  Goettingen
ABSTRACT  In this article we provide a systematic review of the extensive yet diverse and frag-
mented literature on digital transformation (DT), with the goal of clarifying boundary condi-
tions to investigate the phenomenon from the perspective of organizational change.",organizational_architecture,1.0,"[('Journal of Management Studies', 'ORG'), ('Society for the Advancement of Management \nStudies', 'ORG'), ('John Wiley & Sons Ltd', 'PERSON'), ('Organizational Change', 'ORG'), ('Hanelta, René Bohnsackb', 'ORG'), ('David Marzc', 'PERSON'), ('Cláudia Antunes Maranteb', 'ORG'), ('University of  Kassel', 'ORG'), ('Católica Lisbon School of  Business & Economics', 'ORG'), ('University of  Goettingen', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
‘Organizational change and development’.,organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"A Typology of Perspectives on Digital Transformation
The two aggregated thematic patterns of DT (i.e., towards malleable organizational 
designs and digital business ecosystems) summarize the content of DT, which focuses on 
‘the substance of contemporary organizational change’ (Armenakis and Bedeian, 1999, 
p. 295).",Organizational Change,1.0,"[('Digital Transformation', 'ORG'), ('two', 'CARDINAL'), ('DT', 'WORK_OF_ART'), ('DT', 'ORG'), ('Bedeian', 'GPE'), ('1999', 'DATE'), ('295', 'CARDINAL')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"The perspectives vary in their contextual scope and focus on intra-organizational change 
processes but share the commonality that they associate organizational change with the na-
ture of digital technologies, particularly their pervasiveness and the dynamics they induce.",organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"However, as we discussed 
previously, change processes in the course of DT are driven not only by organizational 
actors, but by a confluence of organizational, technological and environmental forces 
in digital business ecosystems (El Sawy et al., 2010).",others,1.0,"[('DT', 'WORK_OF_ART'), ('El Sawy', 'ORG'), ('2010', 'DATE')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"What is unique to DT and going 
beyond the boundaries of established perspectives on organizational change is that, due 
to the traits of digital technologies underlying the new organizational design and digi-
tal business ecosystems, even these episodic episodes lead to new phases of continuous 
change in organizations, which may endure for a comparably long time.",organizational_architecture,4.0,"[('DT', 'WORK_OF_ART')]",Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Linking our findings and interpretations to existing work, we find that the 
nature of DT is only partially covered by conventional frameworks on organizational change.",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
Who or What is Driving Digital Transformation at Your Organization?,Organizational Change,0.16,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Holistic co-evolution
•	 How do internal change initiatives (e.g., by institutional entre-
preneurs) of particular organizations radiate throughout digital 
business ecosystems and shape their gestalt?",others,1.0,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"‘Information technology and organizational change: Causal structure 
in theory and research’.",organizational_architecture,1.0,"[('Causal', 'PERSON')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
‘Revamping your business through digital transformation’.,Organizational Change,0.16,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Thus, the participants within digital business ecosystems, their posi-
tions, and their roles are subject to constant change.",others,1.0,[],Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"DISCUSSION OF FINDINGS
Although our findings portray DT as complex and diversified, we can abstract directions 
concerning the content of organizational change (Armenakis and Bedeian, 1999).",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART'), ('Armenakis', 'ORG'), ('Bedeian', 'GPE'), ('1999', 'DATE')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"‘Organizational change: A review of theory and research in the 
1990s’.",organizational_architecture,1.0,"[('the \n1990s', 'DATE')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"‘Unpacking the dif-
ference between digital transformation and IT-enabled organizational transformation’.",Organizational Change,0.58,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
Handbook of  Organizational Change and Innovation.,organizational_architecture,1.0,"[('Organizational Change and Innovation', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Works following this perspective contribute to 
research on DT by yielding insights into how organizations transform their organiza-
tional design in accordance with the surrounding evolving digital business ecosystems.",others,1.0,"[('DT', 'WORK_OF_ART')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Furthermore, technology structuration theories (Orlikowski, 2000) might be valu-
able for tracing the consequences of interactions with digital technologies in relation 
to organizational change.",organizational_architecture,1.0,"[('Orlikowski', 'PERSON'), ('2000', 'DATE')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"We define 
DT as organizational change triggered and shaped by the widespread diffusion of digital 
technology.",organizational_architecture,1.0,[],Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Keywords: digital business ecosystems, digital transformation, organizational change, 
organizational designs, systematic literature review
INTRODUCTION
Digital transformation (DT) is increasingly establishing itself as a constant theme in con-
temporary academic and practitioner conversations.",Organizational Change,1.0,"[('Digital', 'ORG')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"), Handbook of  Organizational Change and Innovation.",organizational_architecture,1.0,"[('Organizational Change and Innovation', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"And, how does DT relate 
to existing knowledge on organizational change?",organizational_architecture,1.0,"[('DT', 'WORK_OF_ART')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"From this basis, we derived two aggregated 
thematic patterns concerning the content of change: first, we found that DT leads to 
a shift towards malleable organizational designs which enable continuous adaptation.",others,1.0,"[('two', 'CARDINAL'), ('first', 'ORDINAL'), ('DT', 'WORK_OF_ART')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"As we pointed out, DT involves, on the one hand a shift toward malleable organizational 
designs that enable continuous adaptation and on the other, toward turbulent digital 
business ecosystems.",others,1.0,"[('DT', 'ORG')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"‘How big old companies 
navigate digital transformation’.",Organizational Change,0.16,[],Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Therefore, the phenomenon is naturally con-
nected to the topic of  organizational change, viewed as a ‘difference in form, quality, 
or state over time in an organizational entity’ (Van de Ven and Poole, 1995, p. 512).",organizational_architecture,1.0,"[('1995', 'DATE'), ('512', 'CARDINAL')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Instead, DT seems to have a more intricate and encompass-
ing connection to the topic of organizational change, requiring a broader view of and 
comparison with the literature on organizational change and innovation (Poole and Van 
de Ven, 2004).",organizational_architecture,1.0,"[('Poole', 'PRODUCT'), ('2004', 'DATE')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Our findings indicate variation in 
the extent to which studies focus on intra-organizational processes of change, i.e., the 
mechanisms in Figure 2.",others,1.0,"[('Figure', 'GPE'), ('2', 'CARDINAL')]",Uncategorized,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Finally, our work aims to support managers to respond to the strategic 
challenge of DT (Singh et al., 2020) by revealing important insights on the shifts towards 
malleable organizational designs and digital business ecosystems that may inform orga-
nizational change and strategy practices.",others,4.0,"[('DT', 'WORK_OF_ART'), ('Singh', 'GPE'), ('2020', 'DATE')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"[Culture change theory]
•	 How do changes in digital business ecosystems alter power 
relations (e.g., between different functions or units) and value 
commitments inside of firms?",others,1.0,[],Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"•	 How can new theories, inductively derived in the con-
text of DT, explain organizational change?",organizational_architecture,4.0,"[('DT', 'WORK_OF_ART')]",Technology and Infrastructure,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"Following literature from the field of organizational change (e.g., Pettigrew, 2012; 
Sminia and de Rond, 2012), it is necessary to consider the content in conjunction with 
the context and process dimensions.",organizational_architecture,1.0,"[('Pettigrew', 'PERSON'), ('2012', 'DATE'), ('Sminia', 'GPE'), ('2012', 'DATE')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"In Poole, M. S. and Van de Ven, 
A. H. (Eds), Handbook of  Organizational Change and Innovation.",organizational_architecture,1.0,"[('Poole', 'GPE'), ('M. S.', 'PERSON'), ('A. H.', 'PERSON'), ('Organizational Change and Innovation', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"In Poole, 
M. S. and Van de Ven, A. H. (Eds), Handbook of  Organizational Change and Innovation.",organizational_architecture,1.0,"[('M. S.', 'PERSON'), ('Organizational Change and Innovation', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"In Poole, M. S. and Van de Ven, A. H. (Eds), 
Handbook of  Organizational Change and Innovation.",organizational_architecture,1.0,"[('Poole', 'GPE'), ('M. S.', 'PERSON'), ('Organizational Change and Innovation', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"In Poole, M. S. and 
Van de Ven, A. H. (Eds), Handbook of  Organizational Change and Innovation.",organizational_architecture,1.0,"[('Poole', 'GPE'), ('M. S.', 'PERSON'), ('Van de Ven', 'PERSON'), ('Organizational Change and Innovation', 'ORG')]",Culture and People,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
"That is, malleable organizational design places a premium on constant 
adaptation and change in correspondence to the environment (Huang et al., 2017), and 
the digital business ecosystems in which organizations are embedded are characterized 
by their ever-evolving and turbulent nature (El Sawy et al., 2010).",others,1.0,"[('Huang et al.', 'PERSON'), ('2017', 'DATE'), ('El Sawy', 'ORG'), ('2010', 'DATE')]",Business Models,title: A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change; creationDate: D:20220128162049+05'30'; modDate: D:20250430211400-07'00'; subject: J Management Studies 2021.58:1159-1197
