text,intent,maturity_score,entities,category,metadata
tions to investigate the phenomenon from the perspective of organizational change,outros,1,,banco,
"the phenomenon of DT: technology impact, compartmentalized adaptation, systemic shift and",outros,1,,banco,
nature of DT is only partially covered by conventional frameworks on organizational change,outros,1,,banco,
"Keywords: digital business ecosystems, digital transformation, organizational change,",outros,1,,banco,
"nected to the topic of  organizational change, viewed as a ‘difference in form, quality,",outros,1,,banco,
"Thus, we define DT as organizational change that is triggered and shaped by the wide-",outros,1,,banco,
Such a view enables us to potentially explain,inteligencia_artificial,1,,banco,
robust and diversified knowledge base relating to organizational change and innova-,outros,1,,banco,
While prior research studied organizational change in relation to information,outros,1,,banco,
past organizational changes in at least the following ways,outros,1,,banco,
"volved, such as big data analytics, social media, mobile technology or cloud computing,",infraestrutura_digital,4,,banco,
of DT – such as the emergence of new digital business models even in non-digital in-,outros,1,,banco,
"change and cannot, therefore, be explained entirely using established theoretical models",inteligencia_artificial,1,,banco,
"ing connection to the topic of organizational change, requiring a broader view of and",outros,1,,banco,
comparison with the literature on organizational change and innovation (Poole and Van,outros,1,,banco,
"Due to the uncertainties about the phenomenon, it is currently unclear whether, and if",inteligencia_artificial,1,,banco,
so how knowledge on organizational change can be used to explain DT,inteligencia_artificial,1,,banco,
ered by existing knowledge of organizational change,outros,1,,banco,
to existing knowledge on organizational change? Finding answers to these questions is,outros,1,,banco,
"Accordingly, we aim to clarify the boundary conditions both phenomenologi-",inteligencia_artificial,1,,banco,
"Second, this shift is embedded in and driven by digital business ecosystems",outros,1,,banco,
"we derived four perspectives on DT: technology impact, compartmentalized adaptation,",outros,1,,banco,
we relate our findings particularly to the distinction in organizational change literature,outros,1,,banco,
"between episodic and continuous change perspectives, as this distinction is ‘sufficiently",outros,1,,banco,
"intentional organizational change (Lewin, 1951; Poole and Van de Ven, 2004; Waeger",outros,1,,banco,
DT and the established literature on organizational change and innovation,outros,1,,banco,
"contribution, this article aims to contribute via the clarification of boundary conditions,",inteligencia_artificial,1,,banco,
management literature on organizational change and innovation and derive important,outros,1,,banco,
"Overall, our review aims to help scholars to understand",inteligencia_artificial,1,,banco,
"Finally, our work aims to support managers to respond to the strategic",inteligencia_artificial,1,,banco,
malleable organizational designs and digital business ecosystems that may inform orga-,outros,1,,banco,
as the baseline for our search in order to gain robust insights into recent developments,inteligencia_artificial,1,,banco,
"First, as is explained in more detail later on, it allowed us to cater to all",inteligencia_artificial,1,,banco,
"four of the dimensions of organizational change, or ‘issues common to all change efforts’",outros,1,,banco,
An example of contextual conditions is the emergence and diffusion of cloud,infraestrutura_digital,4,,banco,
"category mechanisms we identified, for example, process models to describe and explain",inteligencia_artificial,1,,banco,
"and sub-categories to about half the material, we again revised the category system",inteligencia_artificial,1,,banco,
"For example, environmental antecedents were found to contain country charac-",inteligencia_artificial,1,,banco,
"Finally, the prevailing discrepancies were discussed and unified by all four authors until",inteligencia_artificial,1,,banco,
"following section, we describe the findings of our review in detail",inteligencia_artificial,1,,banco,
"nologies (social, mobile, analytics, cloud, and Internet of Things) (e",infraestrutura_digital,4,,banco,
"has led to an increased data availability, which in turn has increased the importance for",inteligencia_artificial,1,,banco,
"organizations of machine learning and data analytics (Weichert, 2017)",outros,1,,banco,
such as regulatory frameworks and interventions (e,outros,1,,banco,
digital technologies in their daily routines and personal interactions (e,inteligencia_artificial,1,,banco,
We identified two main mechanisms used by organizations,inteligencia_artificial,1,,banco,
", 2018) and to establish digital mindsets",outros,1,,banco,
"orientation, the exploitation and leveraging of  digital capabilities is important for organizations,",outros,1,,banco,
mainly regarding online informational capabilities (Barua et al,inteligencia_artificial,1,,banco,
chine interaction as a core activity to establish value-adding and sustainable synergies be-,inteligencia_artificial,1,,banco,
"First, developing a digital transformation strategy that ‘serves as a cen-",outros,1,,banco,
"organizations, for example by developing dynamic capabilities (e",outros,1,,banco,
